segment_onset,segment_offset,speaker_type
2174880,2178781,NA
2176136,2176327,MAL
2176492,2178510,CHI
2179011,2180511,FEM
2179011,2180790,NA
2181129,2182012,NA
2181325,2182012,CHI
2184175,2185511,NA
2184271,2185447,FEM
2186992,2189795,CHI
2186992,2193200,NA
2189511,2192020,FEM
2190400,2192010,OCH
2192199,2192481,FEM
2193485,2194881,NA
2193510,2194492,FEM
2195444,2197587,NA
2195556,2196496,OCH
2196842,2197058,FEM
2198011,2201011,NA
2198084,2199012,FEM
2198173,2200993,OCH
2206013,2208991,FEM
2206325,2208991,NA
2209511,2215011,NA
2209980,2213922,FEM
2210045,2210993,CHI
2214596,2214771,FEM
2216492,2226492,NA
2216492,2220486,FEM
2218663,2219011,CHI
2220818,2222696,FEM
2220841,2221011,CHI
2222654,2222993,CHI
2222667,2226012,OCH
2222993,2224130,FEM
2226992,2231047,NA
2227075,2229054,CHI
2228958,2231012,FEM
