recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC,speechlike_pitch,nonspeechlike_pitch
20180906_131431_024882.wav,39778000,39898000,3591,120000,640.0,1,640.0,203.85,9.96,213.81,1,1.0,[279.49151789167496],[]
20180906_131431_024882.wav,41905000,42025000,3591,120000,6340.0,6,1056.6666666666667,114.47,0.0,114.47,4,5.0,"[305.5736938956761, 299.4455050680185, 267.45890583502313, 424.02440956200246, 354.6210035391946]",[437.23568811202387]
20180906_131431_024882.wav,45308000,45428000,3591,120000,600.0,1,600.0,14.37,21.07,35.44,1,1.0,[291.086715596867],[]
20180906_131431_024882.wav,48958000,49078000,3591,120000,9650.0,10,965.0,32.61,0.0,32.61,4,9.0,"[301.21711693652566, 259.6450072598413, 272.5516179661463, 358.4769437593358, 379.63742695281, 242.67785602156536, 294.0100311393244]","[336.70925354691036, 312.4938727443683, 300.20982394429313]"
20180906_131431_024882.wav,49225000,49345000,3591,120000,2520.0,3,840.0,9.71,42.3,52.010000000000005,2,2.0,"[296.736809800844, 323.15765664041]",[385.39475700792207]
20180906_131431_024882.wav,49860000,49980000,3591,120000,8340.0,11,758.1818181818181,38.25,7.99,46.24,3,7.0,"[318.2136016807927, 325.1678032625777, 310.27498989913204, 295.66309347722165, 288.88728977288145, 247.4650068212023, 294.8698762237774]","[361.31998795280094, 435.4561985491011, 387.3615579695024, 351.9909123464773]"
20180906_133202_022870.wav,1639000,1759000,3461,120000,5600.0,7,800.0,0.0,0.0,0.0,0,2.0,"[310.185070144923, 289.8631655627675]","[577.006707639274, 551.0193803390958, 599.2852696856535, 363.56880605957093, 434.027377400793]"
20180906_133202_022870.wav,2072000,2192000,3461,120000,15660.0,16,978.75,6.43,0.0,6.43,1,13.0,"[484.5058893195945, 429.4622137634094, 375.6496162900815, 658.73049424685, 452.7068027744485, 591.594868795991, 635.2463718707183, 582.6069095244719, 303.48806993658417]","[550.967228375041, nan, 549.6098995636498, 301.04709707967595, 461.5177445452756, 495.1570813020703, 420.73077316109885]"
20180906_133202_022870.wav,2202000,2322000,3461,120000,18490.0,13,1422.3076923076924,82.44,0.0,82.43999999999998,2,5.0,"[371.32685896945236, 569.1797521116937, 423.5772610596211, 439.8249614311473, 370.33392464440647]","[439.77386291065955, 463.1101382041759, 478.6613136424101, 436.3407571977877, 390.64878114673616, 588.1105249997912, 448.98641525872125, 423.09111814712924]"
20180906_133202_022870.wav,5817000,5937000,3461,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180906_133202_022870.wav,6620000,6740000,3461,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180906_133202_022870.wav,6837000,6957000,3461,120000,1410.0,1,1410.0,6.22,0.0,6.22,1,1.0,[356.6559052906056],[]
20180906_133202_022870.wav,7296000,7416000,3461,120000,6660.0,6,1110.0,33.39,8.48,41.87,2,5.0,"[376.48126772758917, 398.95216408020565, 355.25604201646365, 340.71612703996226, 295.7887459082097]",[306.2009998650703]
20180906_133202_022870.wav,9384000,9504000,3461,120000,700.0,1,700.0,0.0,0.0,0.0,0,1.0,[364.34956196340266],[]
20180906_133202_022870.wav,14868000,14988000,3461,120000,720.0,1,720.0,0.0,0.0,0.0,0,2.0,[534.354464928815],[]
20180906_133202_022870.wav,16289000,16409000,3461,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
