recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC
20210414_211244_024882_1.wav,14868000,14988000,5371,120000,13870.0,15,924.6666666666666,50.169999999999995,55.85999999999999,106.03,8,11.0
20230308_094400_045733_2.wav,16289000,16409000,7121,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220513_113018_024879_2.wav,3478000,3598000,6371,120000,7360.0,7,1051.4285714285713,3.45,1.54,4.99,1,3.0
20230321_124603_024879_1.wav,49860000,49980000,7291,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180906_133202_022870.wav,36581000,36701000,3461,120000,1200.0,2,600.0,5.13,0.83,5.96,0,1.0
20220711_142955_024883_2.wav,1639000,1759000,7011,120000,12400.0,14,885.7142857142857,12.59,0.0,12.59,1,14.0
20220720_091357_024879_1.wav,6837000,6957000,7051,120000,4890.0,6,815.0,0.0,0.0,0.0,0,2.0
20230208_103250_043299_1.wav,39778000,39898000,7261,120000,21070.0,24,877.9166666666666,15.25,49.41,64.66,3,9.0
20201210_142957_025480_2.wav,6620000,6740000,5901,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20221129_154915_045733_1.wav,5817000,5937000,6641,120000,10340.0,7,1477.142857142857,20.22,0.0,20.220000000000002,0,4.0
20211019_120823_045733_2.wav,18264000,18384000,6461,120000,0.0,0,,12.43,0.0,12.43,0,0.0
20210127_103244_024879_1.wav,49860000,49980000,5461,120000,0.0,0,,3.0,0.0,3.0,0,0.0
20190307_091344_022872.wav,49225000,49345000,3951,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210318_114509_043298.wav,49225000,49345000,5961,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230131_124242_043302_2.wav,7296000,7416000,7251,120000,1400.0,2,700.0,17.509999999999998,7.39,24.9,0,0.0
20181218_132113_024879.wav,6837000,6957000,3131,120000,6000.0,6,1000.0,189.51,6.98,196.48999999999998,3,4.0
20190307_091344_022872.wav,48958000,49078000,3951,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230321_124603_024879_1.wav,5817000,5937000,7291,120000,1310.0,2,655.0,0.0,0.0,0.0,0,1.0
20230321_124603_024879_1.wav,9384000,9504000,7291,120000,68570.0,26,2637.3076923076924,60.71,7.77,68.47999999999999,3,11.0
20230321_124603_024879_1.wav,1639000,1759000,7291,120000,7090.0,10,709.0,98.39999999999999,16.53,114.93,5,5.0
20190828_145547_024884_2.wav,1639000,1759000,5061,120000,4980.0,7,711.4285714285714,200.37999999999997,37.11,237.49,4,6.0
20230308_094400_045733_2.wav,1639000,1759000,7121,120000,20480.0,24,853.3333333333334,15.020000000000001,19.45,34.47,4,21.0
20180530_181655_022873.wav,18264000,18384000,3321,120000,26500.0,15,1766.6666666666667,12.0,0.0,12.0,0,5.0
20230301_083834_024880_2.wav,6837000,6957000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20221018_135301_043300_4.wav,18264000,18384000,7201,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20200414_130512_024879_2.wav,2072000,2192000,3941,120000,9370.0,12,780.8333333333334,7.48,0.0,7.48,0,13.0
20210624_093317_024883_2.wav,36581000,36701000,5851,120000,17260.0,13,1327.6923076923076,2.09,20.130000000000003,22.22,2,13.0
20230228_124411_043305_2.wav,49225000,49345000,7141,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20190819_210318_025481_2.wav,2202000,2322000,3362,120000,7940.0,8,992.5,12.05,0.0,12.05,1,3.0
20190819_210318_025481_2.wav,28611000,28731000,3362,120000,6260.0,5,1252.0,23.17,0.0,23.17,1,2.0
20180530_181655_022873.wav,2202000,2322000,3321,120000,8650.0,8,1081.25,26.37,0.0,26.369999999999997,0,4.0
20230131_124242_043302_2.wav,6837000,6957000,7251,120000,39300.0,33,1190.909090909091,4.7,0.0,4.7,0,11.0
20191004_125707_025480_2.wav,12906000,13026000,4001,120000,13570.0,12,1130.8333333333333,129.54,10.33,139.87,4,9.0
20180530_181655_022873.wav,15408000,15528000,3321,120000,70540.0,25,2821.6,0.96,0.0,0.96,0,3.0
20230110_120835_024882_2.wav,6837000,6957000,7231,120000,2770.0,4,692.5,12.190000000000001,90.83,103.02000000000001,3,4.0
20220726_115556_024883_2.wav,36581000,36701000,7111,120000,20300.0,25,812.0,52.97,102.01999999999998,154.99,13,24.0
20230131_124242_043302_2.wav,36581000,36701000,7251,120000,7460.0,9,828.8888888888889,10.719999999999999,0.0,10.719999999999999,0,1.0
20191004_125707_025480_2.wav,3897000,4017000,4001,120000,6350.0,5,1270.0,0.0,0.0,0.0,0,3.0
20210624_093317_024883_2.wav,6837000,6957000,5851,120000,1810.0,3,603.3333333333334,117.8,0.0,117.8,1,2.0
20201210_142957_025480_2.wav,14868000,14988000,5901,120000,1000.0,1,1000.0,9.61,0.0,9.61,0,0.0
20230308_093128_024882_2.wav,28611000,28731000,6761,120000,1230.0,2,615.0,0.0,0.0,0.0,0,1.0
20190618_135122_024883.wav,7296000,7416000,5011,120000,0.0,0,,0.73,0.0,0.73,0,0.0
20220731_113759_045737_2.wav,14868000,14988000,7131,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210624_093317_024883_2.wav,16289000,16409000,5851,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180530_181655_022873.wav,5817000,5937000,3321,120000,4510.0,7,644.2857142857143,0.0,0.47,0.47,0,3.0
20230228_124411_043305_2.wav,5817000,5937000,7141,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230405_090552_045738_2.wav,6837000,6957000,7281,120000,21930.0,26,843.4615384615385,0.0,33.82,33.82,4,25.0
20210318_114509_043298.wav,39778000,39898000,5961,120000,1810.0,3,603.3333333333334,47.919999999999995,27.779999999999998,75.7,2,3.0
20230328_132555_045737_1.wav,16289000,16409000,6451,120000,0.0,0,,7.8,28.02,35.82,0,0.0
20210504_102146_025480_2.wav,15408000,15528000,6261,120000,2970.0,2,1485.0,23.34,0.0,23.34,1,3.0
20230328_132555_045737_1.wav,6837000,6957000,6451,120000,6140.0,6,1023.3333333333334,143.28,0.0,143.28,5,5.0
20221129_154915_045733_1.wav,2202000,2322000,6641,120000,16180.0,14,1155.7142857142858,79.74,7.79,87.53,4,11.0
20211103_114626_022870_1.wav,41905000,42025000,6382,120000,13910.0,14,993.5714285714286,72.86,61.370000000000005,134.23000000000002,4,9.0
20230301_083834_024880_2.wav,2072000,2192000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20201210_142957_025480_2.wav,2072000,2192000,5901,120000,6310.0,8,788.75,1.2,0.0,1.2,0,0.0
20230110_120835_024882_2.wav,9384000,9504000,7231,120000,1990.0,2,995.0,0.0,0.0,0.0,0,2.0
20231025_115855_045737_2.wav,2202000,2322000,6731,120000,14200.0,15,946.6666666666666,0.0,0.0,0.0,0,17.0
20200312_145204_022874.wav,7554000,7674000,3931,120000,4470.0,3,1490.0,12.61,0.0,12.61,0,1.0
20180808_110630_024879.wav,14868000,14988000,3501,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180906_133202_022870.wav,9384000,9504000,3461,120000,700.0,1,700.0,0.0,0.0,0.0,0,1.0
20190307_091344_022872.wav,41905000,42025000,3951,120000,37310.0,31,1203.5483870967741,20.45,43.470000000000006,63.92,1,3.0
20180530_181655_022873.wav,6620000,6740000,3321,120000,5290.0,7,755.7142857142857,1.69,0.0,1.69,0,2.0
20230228_124411_043305_2.wav,16289000,16409000,7141,120000,1310.0,2,655.0,37.18,6.55,43.72999999999999,0,1.0
20230308_093128_024882_2.wav,6837000,6957000,6761,120000,4410.0,6,735.0,116.56,71.30000000000001,187.85999999999999,4,7.0
20230405_090552_045738_2.wav,28611000,28731000,7281,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230228_124411_043305_2.wav,48958000,49078000,7141,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20211019_120823_045733_2.wav,16289000,16409000,6461,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180530_181655_022873.wav,9384000,9504000,3321,120000,17480.0,15,1165.3333333333333,0.0,0.0,0.0,0,7.0
20230308_094400_045733_2.wav,2202000,2322000,7121,120000,25870.0,28,923.9285714285714,25.490000000000002,23.520000000000003,49.010000000000005,6,17.0
20210504_102146_025480_2.wav,1639000,1759000,6261,120000,5960.0,7,851.4285714285714,84.78,5.09,89.87,6,12.0
20220805_082527_043300_2.wav,6620000,6740000,6981,120000,17040.0,15,1136.0,172.48000000000002,0.0,172.48,2,10.0
20230301_083834_024880_2.wav,5817000,5937000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20201210_142957_025480_2.wav,2202000,2322000,5901,120000,24740.0,24,1030.8333333333333,6.44,0.0,6.44,0,9.0
20200414_125938_024878_2.wav,1639000,1759000,4011,120000,18600.0,11,1690.909090909091,4.59,11.649999999999999,16.24,0,3.0
20200312_145204_022874.wav,11687000,11807000,3931,120000,4690.0,5,938.0,136.58999999999997,33.54,170.13,2,3.0
20220728_144904_024880_2.wav,36581000,36701000,7101,120000,29370.0,8,3671.25,32.28,0.34,32.620000000000005,1,18.0
20201210_142957_025480_2.wav,7296000,7416000,5901,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220513_113018_024879_2.wav,2968000,3088000,6371,120000,2150.0,2,1075.0,10.69,0.0,10.690000000000001,1,2.0
20180906_133202_022870.wav,2202000,2322000,3461,120000,18490.0,13,1422.3076923076924,82.44,0.0,82.43999999999998,2,5.0
20181218_132113_024879.wav,45308000,45428000,3131,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220720_091357_024879_1.wav,14868000,14988000,7051,120000,12190.0,12,1015.8333333333334,64.52,113.02000000000001,177.54,6,13.0
20230308_093128_024882_2.wav,2072000,2192000,6761,120000,9750.0,9,1083.3333333333333,8.77,7.51,16.279999999999998,2,7.0
20220711_142955_024883_2.wav,39778000,39898000,7011,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20190828_145547_024884_2.wav,5817000,5937000,5061,120000,11440.0,15,762.6666666666666,113.94,60.95,174.89000000000001,8,15.0
20210504_102146_025480_2.wav,14868000,14988000,6261,120000,18870.0,13,1451.5384615384614,29.270000000000003,0.0,29.270000000000003,2,18.0
20180808_110630_024879.wav,39778000,39898000,3501,120000,21050.0,18,1169.4444444444443,40.19,14.43,54.620000000000005,1,10.0
20230308_094400_045733_2.wav,9384000,9504000,7121,120000,9140.0,9,1015.5555555555555,0.0,0.0,0.0,0,13.0
20210318_114509_043298.wav,49860000,49980000,5961,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210127_103244_024879_1.wav,9384000,9504000,5461,120000,3820.0,6,636.6666666666666,4.9,0.0,4.9,0,6.0
20230308_094400_045733_2.wav,41905000,42025000,7121,120000,10990.0,12,915.8333333333334,55.120000000000005,22.6,77.72,4,9.0
20210624_093317_024883_2.wav,2072000,2192000,5851,120000,5880.0,8,735.0,118.90000000000002,2.41,121.31,6,8.0
20220513_113018_024879_2.wav,23134000,23254000,6371,120000,6800.0,8,850.0,26.740000000000002,30.89,57.629999999999995,1,3.0
20190618_135122_024883.wav,9384000,9504000,5011,120000,83240.0,22,3783.6363636363635,14.93,15.520000000000001,30.45,0,1.0
20220726_115556_024883_2.wav,41905000,42025000,7111,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220728_144904_024880_2.wav,6837000,6957000,7101,120000,3660.0,4,915.0,0.0,0.0,0.0,0,3.0
20220726_115556_024883_2.wav,2202000,2322000,7111,120000,3780.0,3,1260.0,0.0,0.0,0.0,0,3.0
20191004_125707_025480_2.wav,9775000,9895000,4001,120000,16060.0,13,1235.3846153846155,67.17999999999999,0.0,67.18,5,17.0
20210504_102146_025480_2.wav,2202000,2322000,6261,120000,0.0,0,,7.220000000000001,0.0,7.220000000000001,0,0.0
20230321_124603_024879_1.wav,6837000,6957000,7291,120000,9390.0,9,1043.3333333333333,45.96999999999999,27.68,73.65,2,7.0
20210318_114924_043305_2.wav,2202000,2322000,5181,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230328_132555_045737_1.wav,5817000,5937000,6451,120000,28400.0,20,1420.0,72.49,0.0,72.49,4,7.0
20230208_103250_043299_1.wav,7296000,7416000,7261,120000,8810.0,10,881.0,29.700000000000003,0.0,29.7,4,12.0
20180530_181655_022873.wav,2072000,2192000,3321,120000,15990.0,14,1142.142857142857,7.42,0.0,7.42,1,7.0
20190828_145547_024884_2.wav,6620000,6740000,5061,120000,8200.0,12,683.3333333333334,71.96000000000001,42.86,114.82000000000001,7,11.0
20180906_133202_022870.wav,14868000,14988000,3461,120000,720.0,1,720.0,0.0,0.0,0.0,0,2.0
20230110_120835_024882_2.wav,5817000,5937000,7231,120000,2010.0,2,1005.0,63.56,7.49,71.05,1,2.0
20180808_111213_024881.wav,7296000,7416000,2761,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180809_181624_025481.wav,6620000,6740000,2781,120000,770.0,1,770.0,1.26,0.0,1.26,1,1.0
20220711_142955_024883_2.wav,5817000,5937000,7011,120000,18720.0,15,1248.0,3.9,0.0,3.9,1,7.0
20210127_103244_024879_1.wav,14868000,14988000,5461,120000,0.0,0,,0.0,113.05000000000001,113.04999999999998,0,0.0
20190307_091344_022872.wav,39778000,39898000,3951,120000,1110.0,1,1110.0,4.78,0.0,4.78,0,1.0
20210318_114924_043305_2.wav,39778000,39898000,5181,120000,7680.0,10,768.0,36.84,79.72000000000001,116.55999999999999,5,9.0
20220726_115556_024883_2.wav,16289000,16409000,7111,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210624_093317_024883_2.wav,2202000,2322000,5851,120000,16690.0,17,981.7647058823529,178.24,0.0,178.23999999999998,10,17.0
20230425_114841_045738_2.wav,7296000,7416000,6212,120000,2680.0,4,670.0,12.16,0.0,12.16,2,3.0
20220712_113417_045737_3.wav,6837000,6957000,7061,120000,8780.0,9,975.5555555555555,19.04,0.0,19.04,2,7.0
20230208_103250_043299_1.wav,16289000,16409000,7261,120000,24080.0,29,830.3448275862069,19.830000000000002,0.0,19.83,2,22.0
20220726_115556_024883_2.wav,45308000,45428000,7111,120000,0.0,0,,0.0,3.19,3.19,0,0.0
