segment_onset,segment_offset,speaker_type,vcm_type
1437369,1437472,FEM,NA
1439438,1441011,MAL,NA
1439993,1440330,NA,NA
1443493,1447209,MAL,NA
1443992,1446483,NA,NA
1453179,1453368,MAL,NA
1453493,1456529,MAL,NA
1454011,1456492,NA,NA
1457627,1460869,MAL,NA
1459043,1462831,NA,NA
1460688,1461451,OCH,NA
1461783,1462510,FEM,NA
1463449,1466085,NA,NA
1463798,1464620,FEM,NA
1465599,1465980,OCH,NA
1466939,1469592,NA,NA
1466993,1467310,OCH,NA
1467511,1467673,OCH,NA
1468029,1468653,OCH,NA
1468893,1469084,MAL,NA
1469642,1469799,MAL,NA
1469949,1472171,MAL,NA
1475511,1475781,NA,NA
1477739,1488181,NA,NA
1477880,1480231,FEM,NA
1480493,1483787,FEM,NA
1480742,1481503,MAL,NA
1483247,1483610,OCH,NA
1484295,1485493,FEM,NA
1484818,1487511,MAL,NA
1487006,1487511,FEM,NA
1488011,1492493,MAL,NA
1488483,1494669,NA,NA
1492511,1494622,FEM,NA
1499411,1503206,NA,NA
1499514,1501510,MAL,NA
1499639,1499992,FEM,NA
1500110,1503060,FEM,NA
1502039,1502194,MAL,NA
1502329,1502555,MAL,NA
1503404,1506742,NA,NA
1503510,1505130,FEM,NA
1503669,1503834,MAL,NA
1504492,1507261,MAL,NA
1508240,1511148,NA,NA
1508353,1510876,FEM,NA
1509094,1509491,MAL,NA
1509992,1510183,MAL,NA
1511946,1517780,NA,NA
1511992,1513680,FEM,NA
1512992,1521011,MAL,NA
1519511,1525934,NA,NA
1521362,1523370,FEM,NA
1522002,1522206,MAL,NA
1522397,1523722,MAL,NA
1523865,1523990,MAL,NA
1524218,1525011,FEM,NA
1525039,1525231,OCH,NA
1527491,1529821,FEM,NA
1527491,1530056,NA,NA
1531082,1534192,NA,NA
1531513,1531712,FEM,NA
1532010,1534155,FEM,NA
1544295,1545547,NA,NA
1544493,1545173,FEM,NA
1545926,1546854,NA,NA
1546150,1546493,FEM,NA
1550829,1553718,NA,NA
1550875,1551408,MAL,NA
1551511,1553546,FEM,NA
1559928,1573786,NA,NA
1559993,1561043,OCH,NA
1560678,1561512,FEM,NA
1563011,1564017,OCH,NA
1564491,1564739,OCH,NA
1564964,1565880,CHI,N
1564986,1567144,OCH,NA
1567510,1569491,FEM,NA
1569780,1570381,FEM,NA
1570582,1572992,OCH,NA
1574508,1578254,NA,NA
1574584,1575510,MAL,NA
1575946,1577991,OCH,NA
1579011,1579121,NA,NA
1579492,1581301,NA,NA
1579676,1580344,MAL,NA
1580011,1581010,FEM,NA
1586042,1587549,NA,NA
1586061,1587011,FEM,NA
1597489,1599200,FEM,NA
1597492,1602507,NA,NA
1600493,1602167,FEM,NA
1604509,1606490,MAL,NA
1604656,1606475,NA,NA
1606875,1607378,MAL,NA
1606913,1608511,NA,NA
1618124,1618888,NA,NA
1619011,1620118,NA,NA
1619013,1619371,MAL,NA
1621011,1625679,NA,NA
1621492,1622812,FEM,NA
1623491,1624983,OCH,NA
1625010,1625263,FEM,NA
1626011,1626116,NA,NA
1626991,1628830,OCH,NA
1627012,1628718,NA,NA
1630513,1632916,NA,NA
1630564,1630761,FEM,NA
1630992,1632511,FEM,NA
1633492,1637755,MAL,NA
1634570,1635299,NA,NA
1636342,1637014,NA,NA
1638114,1639402,MAL,NA
1638583,1638686,NA,NA
1650392,1652512,NA,NA
1650491,1652224,OCH,NA
1654481,1657493,NA,NA
1654628,1656493,FEM,NA
1654842,1657493,OCH,NA
1665196,1671011,OCH,NA
1665242,1671239,NA,NA
1671661,1678460,NA,NA
1671992,1672260,FEM,NA
1672491,1678362,FEM,NA
1680492,1684869,NA,NA
1680510,1683774,FEM,NA
1683877,1684512,OCH,NA
1685684,1686016,NA,NA
1688081,1691253,NA,NA
1688214,1689179,OCH,NA
1689512,1690779,FEM,NA
1691469,1702792,NA,NA
1691754,1696545,FEM,NA
1697993,1700214,FEM,NA
1698032,1698511,OCH,NA
1700511,1702106,OCH,NA
1702313,1704456,MAL,NA
1705403,1706493,NA,NA
1705539,1705672,FEM,NA
1706604,1706825,NA,NA
1709714,1712011,NA,NA
1710015,1711298,FEM,NA
1711679,1711993,FEM,NA
1712159,1712270,NA,NA
1713088,1715511,OCH,NA
1713511,1720013,NA,NA
1716466,1716854,MAL,NA
1716992,1720257,MAL,NA
1721017,1721452,MAL,NA
1734931,1736112,NA,NA
1734991,1735517,FEM,NA
1736962,1737220,OCH,NA
1737838,1738496,NA,NA
1737887,1740481,OCH,NA
1739266,1739511,NA,NA
1740027,1740336,NA,NA
1743491,1744492,OCH,NA
1743557,1744492,NA,NA
1744877,1745029,NA,NA
1745452,1746301,NA,NA
1746510,1748145,NA,NA
1751986,1764882,NA,NA
1751993,1752992,FEM,NA
1752940,1758402,OCH,NA
1757982,1758286,FEM,NA
1758854,1762123,FEM,NA
1760511,1760629,OCH,NA
1761060,1762042,OCH,NA
1762604,1764511,FEM,NA
1770854,1772990,MAL,NA
1771669,1771812,NA,NA
1781011,1785149,NA,NA
1781382,1782838,OCH,NA
1782992,1784992,FEM,NA
1786511,1787480,MAL,NA
1792992,1794482,MAL,NA
1793694,1798991,NA,NA
1794989,1797492,OCH,NA
1796015,1796142,FEM,NA
1796929,1798173,FEM,NA
1801076,1803174,NA,NA
1801511,1802491,FEM,NA
1817664,1818025,NA,NA
1820276,1823011,MAL,NA
1820462,1821002,NA,NA
1822087,1822414,NA,NA
1827512,1829011,MAL,NA
1828079,1828614,NA,NA
1838724,1848581,NA,NA
1838823,1840511,OCH,NA
1839034,1839491,CHI,N
1840031,1840352,CHI,N
1840975,1844993,OCH,NA
1840982,1841512,CHI,N
1845619,1845811,FEM,NA
1846638,1847510,FEM,NA
1846866,1848160,MAL,NA
1849412,1850949,NA,NA
1849591,1849785,OCH,NA
1849721,1849993,FEM,NA
1850045,1850990,MAL,NA
1854492,1856161,NA,NA
1854492,1856549,MAL,NA
1864007,1866989,MAL,NA
1864326,1866351,NA,NA
1867992,1873993,NA,NA
1868010,1869959,FEM,NA
1868344,1868491,MAL,NA
1870001,1873990,MAL,NA
1874254,1877011,NA,NA
1874489,1874827,FEM,NA
1875049,1875430,MAL,NA
1875413,1875999,FEM,NA
1878044,1881483,MAL,NA
1878614,1880870,NA,NA
1892992,1894075,CHI,N
1892992,1894285,NA,NA
1894904,1896379,NA,NA
1894992,1895993,MAL,NA
1895511,1896221,FEM,NA
1896132,1896291,MAL,NA
1903934,1905628,NA,NA
1905144,1905262,MAL,NA
1906492,1907515,MAL,NA
1912074,1912224,MAL,NA
1912449,1912621,NA,NA
1912786,1912965,MAL,NA
1913606,1914375,NA,NA
1922511,1923652,NA,NA
1922662,1923511,CHI,N
1923785,1923976,NA,NA
1925328,1928254,MAL,NA
1925891,1926149,NA,NA
1930510,1932500,NA,NA
1930512,1932247,CHI,N
1932640,1933992,NA,NA
1933644,1935254,OCH,NA
1934180,1943510,NA,NA
1935993,1939493,CHI,Y
1939066,1940173,OCH,NA
1939511,1940552,FEM,NA
1941572,1943459,MAL,NA
1947993,1949993,NA,NA
1948183,1949349,OCH,NA
1948199,1949326,FEM,NA
1951992,1952166,NA,NA
1953511,1953786,NA,NA
1953933,1955187,NA,NA
1953992,1954883,MAL,NA
1955620,1958798,MAL,NA
1955745,1955958,NA,NA
1956511,1956759,NA,NA
1956985,1984657,NA,NA
1958853,1961011,CHI,N
1961693,1965324,CHI,C
1964993,1966012,MAL,NA
1966145,1967974,CHI,C
1967647,1969011,FEM,NA
1971616,1972355,MAL,NA
1973442,1974993,OCH,NA
1974512,1974736,CHI,N
1975511,1977143,CHI,N
1975992,1976993,FEM,NA
1977340,1978012,FEM,NA
1977991,1979010,CHI,N
1978292,1978429,FEM,NA
1978992,1982240,MAL,NA
1982492,1984561,CHI,N
1983133,1983239,FEM,NA
1986992,1987996,FEM,NA
1986992,1989010,NA,NA
1988781,1988921,MAL,NA
1990354,1995963,NA,NA
1990832,1991492,OCH,NA
1990992,1991297,FEM,NA
1991513,1991661,FEM,NA
1991778,1991903,FEM,NA
1992013,1992273,FEM,NA
1992040,1995511,OCH,NA
1992441,1993295,FEM,NA
1993641,1995246,FEM,NA
1997992,2003493,NA,NA
1998027,1999991,OCH,NA
2000498,2002511,OCH,NA
2000624,2001064,FEM,NA
2002011,2002510,CHI,N
2002512,2003228,MAL,NA
2004492,2006117,NA,NA
2004748,2004991,FEM,NA
2006632,2009086,NA,NA
2007494,2008630,OCH,NA
2008051,2008260,CHI,N
2016951,2021835,NA,NA
2016993,2018724,OCH,NA
2016993,2019703,FEM,NA
2019072,2019745,OCH,NA
2019986,2021746,OCH,NA
2022511,2022668,NA,NA
2023512,2025935,NA,NA
2023837,2025882,FEM,NA
2026655,2031264,NA,NA
2026742,2028240,OCH,NA
2028491,2030604,MAL,NA
2029011,2030722,FEM,NA
2031630,2031991,NA,NA
2032130,2035006,NA,NA
2032359,2033694,OCH,NA
2032466,2033016,CHI,N
2033844,2034890,FEM,NA
2033903,2034011,OCH,NA
2037474,2040046,NA,NA
2037493,2040034,OCH,NA
2042999,2043193,MAL,NA
2044411,2048331,NA,NA
2044511,2045699,OCH,NA
2047012,2048279,FEM,NA
2054751,2055888,NA,NA
2054967,2055765,CHI,N
2058991,2060992,NA,NA
2059086,2060512,FEM,NA
2059513,2060507,OCH,NA
2066037,2066391,NA,NA
2069984,2075993,NA,NA
2069992,2073936,CHI,Y
2073635,2075010,FEM,NA
2076740,2103824,NA,NA
2077512,2086130,FEM,NA
2086049,2087512,MAL,NA
2086513,2092158,FEM,NA
2092011,2094512,OCH,NA
2092267,2092392,FEM,NA
2093054,2093309,FEM,NA
2093511,2095492,FEM,NA
2095705,2095943,MAL,NA
2096481,2099512,OCH,NA
2097109,2097215,FEM,NA
2097341,2098011,FEM,NA
2099935,2103183,OCH,NA
2103059,2104247,MAL,NA
2104512,2115493,NA,NA
2105460,2105992,FEM,NA
2106010,2108470,OCH,NA
2106511,2107510,CHI,N
2108012,2109993,FEM,NA
2109491,2115512,OCH,NA
2115659,2115838,OCH,NA
2116010,2128881,NA,NA
2116992,2118470,FEM,NA
2118621,2125492,FEM,NA
2125605,2126715,OCH,NA
2126638,2126766,FEM,NA
2126900,2127011,FEM,NA
2126957,2127161,OCH,NA
2127968,2131858,OCH,NA
2128991,2132126,NA,NA
2129510,2130205,FEM,NA
2130492,2131511,FEM,NA
2132274,2135583,NA,NA
2132339,2135515,MAL,NA
2133282,2134099,FEM,NA
2135147,2135422,FEM,NA
2139893,2142991,NA,NA
2139899,2141993,FEM,NA
2145992,2146119,NA,NA
2146367,2153897,NA,NA
2146492,2149541,OCH,NA
2149991,2150835,FEM,NA
2151320,2152992,OCH,NA
2151352,2151511,FEM,NA
2154087,2155864,NA,NA
2154806,2157489,MAL,NA
2156387,2158010,NA,NA
2158166,2158520,NA,NA
2159992,2161521,NA,NA
2160493,2161295,FEM,NA
2161905,2163797,NA,NA
2162028,2162188,FEM,NA
2162511,2162685,FEM,NA
2163503,2163643,FEM,NA
2164258,2165891,NA,NA
2164269,2165492,FEM,NA
2169992,2175576,NA,NA
2170010,2174492,FEM,NA
2174097,2175491,CHI,N
2177059,2178441,NA,NA
2177511,2178304,FEM,NA
2180928,2182511,NA,NA
2181271,2182012,FEM,NA
2181279,2181492,OCH,NA
2189472,2190491,NA,NA
2200011,2202854,NA,NA
2200073,2200510,OCH,NA
2200492,2202382,MAL,NA
