segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
41905218,41906350,FEM,11.19,5.1,3.47,20220624_140959_025480_2.txt
41916992,41917772,FEM,11.78,5.56,3.56,20220624_140959_025480_2.txt
41920448,41921795,FEM,15.36,7.31,4.84,20220624_140959_025480_2.txt
41920796,41921511,MAL,12.17,5.79,3.68,20220624_140959_025480_2.txt
41921913,41922897,MAL,12.37,5.94,3.84,20220624_140959_025480_2.txt
41928818,41930011,FEM,13.33,6.26,4.14,20220624_140959_025480_2.txt
41929124,41929455,MAL,7.17,3.19,2.0,20220624_140959_025480_2.txt
41930511,41937087,MAL,50.55,24.28,16.98,20220624_140959_025480_2.txt
41937512,41937833,MAL,3.33,1.08,0.77,20220624_140959_025480_2.txt
41938012,41940493,MAL,21.06,10.06,6.94,20220624_140959_025480_2.txt
41940941,41941365,FEM,4.51,1.74,1.18,20220624_140959_025480_2.txt
41941074,41941184,MAL,4.82,1.99,1.23,20220624_140959_025480_2.txt
41941511,41943118,MAL,16.29,7.88,5.25,20220624_140959_025480_2.txt
41945823,41947759,MAL,15.31,6.97,4.98,20220624_140959_025480_2.txt
41954185,41954511,FEM,10.05,4.86,3.01,20220624_140959_025480_2.txt
41955492,41960992,MAL,38.73,18.44,13.28,20220624_140959_025480_2.txt
41962322,41963324,MAL,10.82,4.86,3.33,20220624_140959_025480_2.txt
41963773,41963920,MAL,9.96,4.84,2.95,20220624_140959_025480_2.txt
41965855,41969510,FEM,27.92,13.59,9.47,20220624_140959_025480_2.txt
41969517,41971829,MAL,21.08,10.27,6.97,20220624_140959_025480_2.txt
41974728,41974885,MAL,8.0,3.75,2.3,20220624_140959_025480_2.txt
41974991,41977043,MAL,19.11,9.19,6.16,20220624_140959_025480_2.txt
42031492,42031759,FEM,11.8,5.79,3.58,20220624_140959_025480_2.txt
42066916,42067989,MAL,12.28,5.76,3.83,20220624_140959_025480_2.txt
42087322,42089094,MAL,16.26,7.58,5.22,20220624_140959_025480_2.txt
42093170,42094010,MAL,8.86,3.88,2.65,20220624_140959_025480_2.txt
42096753,42097475,FEM,7.93,3.46,2.32,20220624_140959_025480_2.txt
42099988,42101029,MAL,11.11,5.21,3.43,20220624_140959_025480_2.txt
42104991,42109011,MAL,29.74,14.49,10.14,20220624_140959_025480_2.txt
42109971,42112490,MAL,23.19,11.58,7.71,20220624_140959_025480_2.txt
42114330,42117511,MAL,25.65,12.6,8.58,20220624_140959_025480_2.txt
42144713,42145992,MAL,14.47,6.87,4.49,20220624_140959_025480_2.txt
42145512,42146011,FEM,9.03,4.17,2.65,20220624_140959_025480_2.txt
42158510,42159011,FEM,7.26,3.2,2.11,20220624_140959_025480_2.txt
